sai,sbi,sci,sa,sb,sc,dist
5,4,21,Run1_C_18,Run1_C_36,Run1_C_31,0.85
20,3,0,Run1_C_25,Run1_C_12,Run1_C_23,1.2729
14,9,17,Run1_C_45,Run1_C_44,Run1_C_26,4.8187
5,13,16,Run1_C_18,Run1_C_16,Run1_C_41,1.4053
4,19,3,Run1_C_36,Run1_C_22,Run1_C_12,0.2165
14,9,19,Run1_C_45,Run1_C_44,Run1_C_22,4.3404
8,2,9,Run1_C_40,Run1_C_32,Run1_C_44,0.3034
10,3,4,Run1_C_33,Run1_C_12,Run1_C_36,2.6387
1,7,23,Run1_C_38,Run1_C_43,Run1_C_24,3.4373
11,23,9,Run1_C_29,Run1_C_24,Run1_C_44,0.0337
11,7,8,Run1_C_29,Run1_C_43,Run1_C_40,1.2704
16,12,1,Run1_C_41,Run1_C_35,Run1_C_38,0.572
8,16,3,Run1_C_40,Run1_C_41,Run1_C_12,2.395
2,12,9,Run1_C_32,Run1_C_35,Run1_C_44,0.4282
1,7,17,Run1_C_38,Run1_C_43,Run1_C_26,2.7972
12,18,22,Run1_C_35,Run1_C_34,Run1_C_42,1.5621
14,15,2,Run1_C_45,Run1_C_21,Run1_C_32,2.1287
5,4,22,Run1_C_18,Run1_C_36,Run1_C_42,1.1164
1,18,20,Run1_C_38,Run1_C_34,Run1_C_25,0.01
11,21,3,Run1_C_29,Run1_C_31,Run1_C_12,3.1445
20,19,12,Run1_C_25,Run1_C_22,Run1_C_35,0.6022
13,22,0,Run1_C_16,Run1_C_42,Run1_C_23,2.4534
0,19,5,Run1_C_23,Run1_C_22,Run1_C_18,2.0554
16,15,18,Run1_C_41,Run1_C_21,Run1_C_34,0.5424
10,12,22,Run1_C_33,Run1_C_35,Run1_C_42,0.1592
11,22,23,Run1_C_29,Run1_C_42,Run1_C_24,2.0338
8,17,9,Run1_C_40,Run1_C_26,Run1_C_44,2.9262
7,22,17,Run1_C_43,Run1_C_42,Run1_C_26,4.9149
1,8,9,Run1_C_38,Run1_C_40,Run1_C_44,0.1222
10,3,21,Run1_C_33,Run1_C_12,Run1_C_31,3.2636
7,22,16,Run1_C_43,Run1_C_42,Run1_C_41,4.8821
1,3,0,Run1_C_38,Run1_C_12,Run1_C_23,0.0959
20,2,0,Run1_C_25,Run1_C_32,Run1_C_23,0.7302
14,1,8,Run1_C_45,Run1_C_38,Run1_C_40,0.8293
8,18,1,Run1_C_40,Run1_C_34,Run1_C_38,0.2585
0,19,15,Run1_C_23,Run1_C_22,Run1_C_21,2.4837
21,4,3,Run1_C_31,Run1_C_36,Run1_C_12,1.1789
8,23,7,Run1_C_40,Run1_C_24,Run1_C_43,0.7893
14,4,7,Run1_C_45,Run1_C_36,Run1_C_43,2.7019
5,9,19,Run1_C_18,Run1_C_44,Run1_C_22,0.4116
9,15,0,Run1_C_44,Run1_C_21,Run1_C_23,1.8233
0,23,5,Run1_C_23,Run1_C_24,Run1_C_18,0.7271
1,15,20,Run1_C_38,Run1_C_21,Run1_C_25,0.5234
13,22,20,Run1_C_16,Run1_C_42,Run1_C_25,2.0498
11,12,23,Run1_C_29,Run1_C_35,Run1_C_24,0.4471
8,16,14,Run1_C_40,Run1_C_41,Run1_C_45,2.951
7,22,19,Run1_C_43,Run1_C_42,Run1_C_22,4.9559
5,11,8,Run1_C_18,Run1_C_29,Run1_C_40,1.0436
4,19,7,Run1_C_36,Run1_C_22,Run1_C_43,0.2059
16,2,21,Run1_C_41,Run1_C_32,Run1_C_31,0.8555
8,16,2,Run1_C_40,Run1_C_41,Run1_C_32,1.9171
11,22,16,Run1_C_29,Run1_C_42,Run1_C_41,2.5101
16,17,15,Run1_C_41,Run1_C_26,Run1_C_21,1.6583
20,3,15,Run1_C_25,Run1_C_12,Run1_C_21,1.5785
11,21,2,Run1_C_29,Run1_C_31,Run1_C_32,3.8764
0,3,21,Run1_C_23,Run1_C_12,Run1_C_31,0.3458
8,20,18,Run1_C_40,Run1_C_25,Run1_C_34,0.564
11,8,9,Run1_C_29,Run1_C_40,Run1_C_44,0.4335
16,3,18,Run1_C_41,Run1_C_12,Run1_C_34,0.1567
8,7,14,Run1_C_40,Run1_C_43,Run1_C_45,0.1564
21,22,9,Run1_C_31,Run1_C_42,Run1_C_44,3.2071
14,5,11,Run1_C_45,Run1_C_18,Run1_C_29,0.7922
23,3,22,Run1_C_24,Run1_C_12,Run1_C_42,1.7104
10,17,0,Run1_C_33,Run1_C_26,Run1_C_23,0.7119
14,4,0,Run1_C_45,Run1_C_36,Run1_C_23,3.397
0,23,18,Run1_C_23,Run1_C_24,Run1_C_34,0.2932
14,1,12,Run1_C_45,Run1_C_38,Run1_C_35,0.3997
5,4,17,Run1_C_18,Run1_C_36,Run1_C_26,2.0913
16,19,7,Run1_C_41,Run1_C_22,Run1_C_43,0.7992
14,4,10,Run1_C_45,Run1_C_36,Run1_C_33,2.6411
13,22,4,Run1_C_16,Run1_C_42,Run1_C_36,1.2975
14,1,17,Run1_C_45,Run1_C_38,Run1_C_26,0.8085
21,4,23,Run1_C_31,Run1_C_36,Run1_C_24,0.9074
12,7,10,Run1_C_35,Run1_C_43,Run1_C_33,0.0712
14,9,15,Run1_C_45,Run1_C_44,Run1_C_21,2.2183
13,12,9,Run1_C_16,Run1_C_35,Run1_C_44,0.6293
15,22,3,Run1_C_21,Run1_C_42,Run1_C_12,1.0727
1,22,10,Run1_C_38,Run1_C_42,Run1_C_33,3.3633
21,13,17,Run1_C_31,Run1_C_16,Run1_C_26,2.972
23,20,1,Run1_C_24,Run1_C_25,Run1_C_38,4.289
0,19,9,Run1_C_23,Run1_C_22,Run1_C_44,2.6349
15,13,16,Run1_C_21,Run1_C_16,Run1_C_41,0.417
14,22,16,Run1_C_45,Run1_C_42,Run1_C_41,0.6443
20,3,13,Run1_C_25,Run1_C_12,Run1_C_16,1.4882
14,23,18,Run1_C_45,Run1_C_24,Run1_C_34,0.1121
5,21,0,Run1_C_18,Run1_C_31,Run1_C_23,1.6944
1,7,16,Run1_C_38,Run1_C_43,Run1_C_41,3.0504
14,12,23,Run1_C_45,Run1_C_35,Run1_C_24,0.27
10,18,9,Run1_C_33,Run1_C_34,Run1_C_44,1.1244
14,5,10,Run1_C_45,Run1_C_18,Run1_C_33,1.5903
5,9,17,Run1_C_18,Run1_C_44,Run1_C_26,1.0861
10,2,15,Run1_C_33,Run1_C_32,Run1_C_21,5.3982
2,19,8,Run1_C_32,Run1_C_22,Run1_C_40,0.445
13,18,10,Run1_C_16,Run1_C_34,Run1_C_33,0.5646
14,7,16,Run1_C_45,Run1_C_43,Run1_C_41,0.2686
17,3,4,Run1_C_26,Run1_C_12,Run1_C_36,1.3946
8,16,13,Run1_C_40,Run1_C_41,Run1_C_16,2.8783
9,7,16,Run1_C_44,Run1_C_43,Run1_C_41,0.1471
0,18,9,Run1_C_23,Run1_C_34,Run1_C_44,0.0169
23,20,19,Run1_C_24,Run1_C_25,Run1_C_22,2.5386
0,2,15,Run1_C_23,Run1_C_32,Run1_C_21,0.7834
2,3,1,Run1_C_32,Run1_C_12,Run1_C_38,2.7587
17,2,1,Run1_C_26,Run1_C_32,Run1_C_38,0.9183
7,18,9,Run1_C_43,Run1_C_34,Run1_C_44,0.6777
5,12,20,Run1_C_18,Run1_C_35,Run1_C_25,2.0324
0,17,18,Run1_C_23,Run1_C_26,Run1_C_34,0.4207
0,18,3,Run1_C_23,Run1_C_34,Run1_C_12,0.0322
11,21,16,Run1_C_29,Run1_C_31,Run1_C_41,3.2415
1,13,0,Run1_C_38,Run1_C_16,Run1_C_23,2.6032
21,18,4,Run1_C_31,Run1_C_34,Run1_C_36,0.18
20,3,11,Run1_C_25,Run1_C_12,Run1_C_29,1.5945
19,3,18,Run1_C_22,Run1_C_12,Run1_C_34,0.1471
2,3,17,Run1_C_32,Run1_C_12,Run1_C_26,1.6626
21,15,3,Run1_C_31,Run1_C_21,Run1_C_12,2.3575
1,11,14,Run1_C_38,Run1_C_29,Run1_C_45,1.5652
2,19,7,Run1_C_32,Run1_C_22,Run1_C_43,1.4372
11,15,18,Run1_C_29,Run1_C_21,Run1_C_34,0.1294
8,23,12,Run1_C_40,Run1_C_24,Run1_C_35,1.0136
10,19,1,Run1_C_33,Run1_C_22,Run1_C_38,1.297
23,19,18,Run1_C_24,Run1_C_22,Run1_C_34,0.6287
11,18,2,Run1_C_29,Run1_C_34,Run1_C_32,1.4562
4,12,10,Run1_C_36,Run1_C_35,Run1_C_33,0.054
11,7,18,Run1_C_29,Run1_C_43,Run1_C_34,0.4104
5,13,3,Run1_C_18,Run1_C_16,Run1_C_12,2.8541
1,5,19,Run1_C_38,Run1_C_18,Run1_C_22,0.0031
9,15,17,Run1_C_44,Run1_C_21,Run1_C_26,1.6297
10,20,1,Run1_C_33,Run1_C_25,Run1_C_38,1.9724
1,5,8,Run1_C_38,Run1_C_18,Run1_C_40,0.82
11,22,19,Run1_C_29,Run1_C_42,Run1_C_22,1.4888
10,13,9,Run1_C_33,Run1_C_16,Run1_C_44,0.0216
5,19,3,Run1_C_18,Run1_C_22,Run1_C_12,0.5098
5,13,7,Run1_C_18,Run1_C_16,Run1_C_43,0.1867
16,18,14,Run1_C_41,Run1_C_34,Run1_C_45,0.209
21,7,9,Run1_C_31,Run1_C_43,Run1_C_44,1.8836
21,15,23,Run1_C_31,Run1_C_21,Run1_C_24,2.2728
20,23,8,Run1_C_25,Run1_C_24,Run1_C_40,2.6891
9,21,19,Run1_C_44,Run1_C_31,Run1_C_22,0.2939
16,20,18,Run1_C_41,Run1_C_25,Run1_C_34,1.5507
8,20,12,Run1_C_40,Run1_C_25,Run1_C_35,0.7166
18,12,23,Run1_C_34,Run1_C_35,Run1_C_24,2.2331
23,20,18,Run1_C_24,Run1_C_25,Run1_C_34,3.7612
23,19,11,Run1_C_24,Run1_C_22,Run1_C_29,0.1025
1,22,17,Run1_C_38,Run1_C_42,Run1_C_26,3.3648
1,4,10,Run1_C_38,Run1_C_36,Run1_C_33,0.4507
13,22,5,Run1_C_16,Run1_C_42,Run1_C_18,0.1682
23,19,7,Run1_C_24,Run1_C_22,Run1_C_43,1.1519
8,23,18,Run1_C_40,Run1_C_24,Run1_C_34,0.861
18,3,9,Run1_C_34,Run1_C_12,Run1_C_44,0.5344
5,15,9,Run1_C_18,Run1_C_21,Run1_C_44,0.7506
1,21,9,Run1_C_38,Run1_C_31,Run1_C_44,2.9211
16,23,12,Run1_C_41,Run1_C_24,Run1_C_35,0.8466
0,16,10,Run1_C_23,Run1_C_41,Run1_C_33,0.1295
9,15,7,Run1_C_44,Run1_C_21,Run1_C_43,1.2177
5,15,2,Run1_C_18,Run1_C_21,Run1_C_32,2.4142
1,13,15,Run1_C_38,Run1_C_16,Run1_C_21,1.2562
4,12,3,Run1_C_36,Run1_C_35,Run1_C_12,0.5583
8,16,12,Run1_C_40,Run1_C_41,Run1_C_35,2.3852
8,16,23,Run1_C_40,Run1_C_41,Run1_C_24,1.5386
10,23,9,Run1_C_33,Run1_C_24,Run1_C_44,1.5943
1,21,0,Run1_C_38,Run1_C_31,Run1_C_23,3.9825
12,18,7,Run1_C_35,Run1_C_34,Run1_C_43,1.3317
23,17,0,Run1_C_24,Run1_C_26,Run1_C_23,1.8966
9,15,20,Run1_C_44,Run1_C_21,Run1_C_25,1.79
9,15,23,Run1_C_44,Run1_C_21,Run1_C_24,1.9643
9,4,1,Run1_C_44,Run1_C_36,Run1_C_38,1.8503
21,12,8,Run1_C_31,Run1_C_35,Run1_C_40,0.091
19,3,13,Run1_C_22,Run1_C_12,Run1_C_16,0.1625
12,22,9,Run1_C_35,Run1_C_42,Run1_C_44,0.2474
4,7,17,Run1_C_36,Run1_C_43,Run1_C_26,0.6972
14,15,23,Run1_C_45,Run1_C_21,Run1_C_24,2.2
23,3,7,Run1_C_24,Run1_C_12,Run1_C_43,1.9953
1,7,15,Run1_C_38,Run1_C_43,Run1_C_21,2.0371
1,11,16,Run1_C_38,Run1_C_29,Run1_C_41,3.0399
4,22,10,Run1_C_36,Run1_C_42,Run1_C_33,0.3109
16,19,4,Run1_C_41,Run1_C_22,Run1_C_36,0.0433
16,17,21,Run1_C_41,Run1_C_26,Run1_C_31,2.3881
17,3,0,Run1_C_26,Run1_C_12,Run1_C_23,0.3034
8,3,9,Run1_C_40,Run1_C_12,Run1_C_44,0.8357
14,22,20,Run1_C_45,Run1_C_42,Run1_C_25,0.8513
5,15,12,Run1_C_18,Run1_C_21,Run1_C_35,0.7801
16,2,4,Run1_C_41,Run1_C_32,Run1_C_36,0.7082
1,15,12,Run1_C_38,Run1_C_21,Run1_C_35,0.0932
23,19,13,Run1_C_24,Run1_C_22,Run1_C_16,0.571
16,17,18,Run1_C_41,Run1_C_26,Run1_C_34,2.188
1,13,20,Run1_C_38,Run1_C_16,Run1_C_25,2.1997
5,13,2,Run1_C_18,Run1_C_16,Run1_C_32,1.8335
1,21,2,Run1_C_38,Run1_C_31,Run1_C_32,4.0237
10,19,7,Run1_C_33,Run1_C_22,Run1_C_43,1.2598
1,21,10,Run1_C_38,Run1_C_31,Run1_C_33,3.5895
3,19,1,Run1_C_12,Run1_C_22,Run1_C_38,0.3954
10,12,14,Run1_C_33,Run1_C_35,Run1_C_45,0.4481
18,3,14,Run1_C_34,Run1_C_12,Run1_C_45,0.5575
11,15,10,Run1_C_29,Run1_C_21,Run1_C_33,1.0281
11,21,17,Run1_C_29,Run1_C_31,Run1_C_26,3.2069
8,17,5,Run1_C_40,Run1_C_26,Run1_C_18,2.4196
14,22,2,Run1_C_45,Run1_C_42,Run1_C_32,0.3186
20,23,12,Run1_C_25,Run1_C_24,Run1_C_35,4.1051
5,11,23,Run1_C_18,Run1_C_29,Run1_C_24,1.2218
4,22,18,Run1_C_36,Run1_C_42,Run1_C_34,0.3158
1,13,12,Run1_C_38,Run1_C_16,Run1_C_35,1.3862
11,21,20,Run1_C_29,Run1_C_31,Run1_C_25,3.2783
13,18,9,Run1_C_16,Run1_C_34,Run1_C_44,1.2974
5,22,23,Run1_C_18,Run1_C_42,Run1_C_24,1.359
14,7,0,Run1_C_45,Run1_C_43,Run1_C_23,0.196
1,4,20,Run1_C_38,Run1_C_36,Run1_C_25,0.9728
8,17,13,Run1_C_40,Run1_C_26,Run1_C_16,2.407
0,10,9,Run1_C_23,Run1_C_33,Run1_C_44,0.1832
4,12,17,Run1_C_36,Run1_C_35,Run1_C_26,0.2896
20,17,22,Run1_C_25,Run1_C_26,Run1_C_42,2.7392
1,13,10,Run1_C_38,Run1_C_16,Run1_C_33,2.1535
14,15,17,Run1_C_45,Run1_C_21,Run1_C_26,1.9907
16,19,14,Run1_C_41,Run1_C_22,Run1_C_45,0.6617
23,3,14,Run1_C_24,Run1_C_12,Run1_C_45,1.2164
15,22,10,Run1_C_21,Run1_C_42,Run1_C_33,0.8396
21,22,20,Run1_C_31,Run1_C_42,Run1_C_25,3.6917
5,15,0,Run1_C_18,Run1_C_21,Run1_C_23,2.7608
14,4,3,Run1_C_45,Run1_C_36,Run1_C_12,3.4172
17,3,9,Run1_C_26,Run1_C_12,Run1_C_44,1.3719
14,9,8,Run1_C_45,Run1_C_44,Run1_C_40,5.1235
2,19,16,Run1_C_32,Run1_C_22,Run1_C_41,0.245
20,2,19,Run1_C_25,Run1_C_32,Run1_C_22,0.2319
15,7,0,Run1_C_21,Run1_C_43,Run1_C_23,0.7926
1,21,16,Run1_C_38,Run1_C_31,Run1_C_41,3.3689
0,23,15,Run1_C_23,Run1_C_24,Run1_C_21,0.4971
0,19,16,Run1_C_23,Run1_C_22,Run1_C_41,1.9917
23,17,10,Run1_C_24,Run1_C_26,Run1_C_33,0.9724
8,17,3,Run1_C_40,Run1_C_26,Run1_C_12,1.5543
5,13,17,Run1_C_18,Run1_C_16,Run1_C_26,2.0133
1,13,3,Run1_C_38,Run1_C_16,Run1_C_12,2.5749
8,7,9,Run1_C_40,Run1_C_43,Run1_C_44,0.4155
