sai,sbi,sci,sa,sb,sc,dist
20,2,7,Run1_C_25,Run1_C_32,Run1_C_43,1.7551
21,9,3,Run1_C_31,Run1_C_44,Run1_C_12,0.9058
21,12,20,Run1_C_31,Run1_C_35,Run1_C_25,0.2531
9,12,20,Run1_C_44,Run1_C_35,Run1_C_25,0.2624
7,22,14,Run1_C_43,Run1_C_42,Run1_C_45,4.1002
12,3,21,Run1_C_35,Run1_C_12,Run1_C_31,0.0734
18,12,13,Run1_C_34,Run1_C_35,Run1_C_16,0.6717
21,7,10,Run1_C_31,Run1_C_43,Run1_C_33,2.5148
23,2,22,Run1_C_24,Run1_C_32,Run1_C_42,1.5824
10,12,9,Run1_C_33,Run1_C_35,Run1_C_44,0.4066
9,15,22,Run1_C_44,Run1_C_21,Run1_C_42,1.1367
7,18,17,Run1_C_43,Run1_C_34,Run1_C_26,0.3088
10,5,0,Run1_C_33,Run1_C_18,Run1_C_23,0.1332
10,3,13,Run1_C_33,Run1_C_12,Run1_C_16,2.6842
13,7,19,Run1_C_16,Run1_C_43,Run1_C_22,1.8371
23,17,12,Run1_C_24,Run1_C_26,Run1_C_35,1.9589
20,17,2,Run1_C_25,Run1_C_26,Run1_C_32,0.9721
16,17,4,Run1_C_41,Run1_C_26,Run1_C_36,2.2744
11,7,19,Run1_C_29,Run1_C_43,Run1_C_22,0.9875
9,13,8,Run1_C_44,Run1_C_16,Run1_C_40,0.3336
10,20,16,Run1_C_33,Run1_C_25,Run1_C_41,0.1705
8,16,10,Run1_C_40,Run1_C_41,Run1_C_33,1.9731
4,2,18,Run1_C_36,Run1_C_32,Run1_C_34,0.3161
23,19,9,Run1_C_24,Run1_C_22,Run1_C_44,0.4782
8,17,19,Run1_C_40,Run1_C_26,Run1_C_22,1.8304
7,22,21,Run1_C_43,Run1_C_42,Run1_C_31,0.9113
1,5,3,Run1_C_38,Run1_C_18,Run1_C_12,0.9084
8,7,19,Run1_C_40,Run1_C_43,Run1_C_22,0.4418
10,18,0,Run1_C_33,Run1_C_34,Run1_C_23,0.6858
23,2,18,Run1_C_24,Run1_C_32,Run1_C_34,1.2488
13,22,15,Run1_C_16,Run1_C_42,Run1_C_21,1.1063
5,15,21,Run1_C_18,Run1_C_21,Run1_C_31,0.6024
16,23,0,Run1_C_41,Run1_C_24,Run1_C_23,0.437
1,11,4,Run1_C_38,Run1_C_29,Run1_C_36,1.5626
13,18,19,Run1_C_16,Run1_C_34,Run1_C_22,1.4643
11,12,9,Run1_C_29,Run1_C_35,Run1_C_44,0.0442
8,23,5,Run1_C_40,Run1_C_24,Run1_C_18,1.3612
11,18,20,Run1_C_29,Run1_C_34,Run1_C_25,1.3135
1,15,3,Run1_C_38,Run1_C_21,Run1_C_12,0.8083
1,13,17,Run1_C_38,Run1_C_16,Run1_C_26,2.3314
14,15,22,Run1_C_45,Run1_C_21,Run1_C_42,1.4977
0,8,5,Run1_C_23,Run1_C_40,Run1_C_18,0.9836
1,21,17,Run1_C_38,Run1_C_31,Run1_C_26,3.4317
16,2,5,Run1_C_41,Run1_C_32,Run1_C_18,0.176
10,18,15,Run1_C_33,Run1_C_34,Run1_C_21,0.7734
12,22,3,Run1_C_35,Run1_C_42,Run1_C_12,0.3451
21,4,19,Run1_C_31,Run1_C_36,Run1_C_22,0.2577
15,13,17,Run1_C_21,Run1_C_16,Run1_C_26,0.8614
5,12,17,Run1_C_18,Run1_C_35,Run1_C_26,1.3269
11,4,19,Run1_C_29,Run1_C_36,Run1_C_22,0.2188
21,7,3,Run1_C_31,Run1_C_43,Run1_C_12,2.9622
18,3,1,Run1_C_34,Run1_C_12,Run1_C_38,0.2483
21,22,4,Run1_C_31,Run1_C_42,Run1_C_36,2.9571
1,21,7,Run1_C_38,Run1_C_31,Run1_C_43,0.6345
0,3,4,Run1_C_23,Run1_C_12,Run1_C_36,0.1932
8,20,7,Run1_C_40,Run1_C_25,Run1_C_43,0.4923
0,2,9,Run1_C_23,Run1_C_32,Run1_C_44,0.3361
14,2,7,Run1_C_45,Run1_C_32,Run1_C_43,0.0571
10,16,21,Run1_C_33,Run1_C_41,Run1_C_31,0.6676
10,17,19,Run1_C_33,Run1_C_26,Run1_C_22,0.2562
5,11,10,Run1_C_18,Run1_C_29,Run1_C_33,0.7981
1,9,16,Run1_C_38,Run1_C_44,Run1_C_41,0.2419
21,7,0,Run1_C_31,Run1_C_43,Run1_C_23,2.4371
11,3,9,Run1_C_29,Run1_C_12,Run1_C_44,0.3678
20,17,12,Run1_C_25,Run1_C_26,Run1_C_35,1.832
10,17,15,Run1_C_33,Run1_C_26,Run1_C_21,1.0473
15,4,1,Run1_C_21,Run1_C_36,Run1_C_38,2.1101
13,18,4,Run1_C_16,Run1_C_34,Run1_C_36,0.5697
0,17,14,Run1_C_23,Run1_C_26,Run1_C_45,0.9451
11,3,14,Run1_C_29,Run1_C_12,Run1_C_45,0.0956
2,3,11,Run1_C_32,Run1_C_12,Run1_C_29,2.4899
17,12,14,Run1_C_26,Run1_C_35,Run1_C_45,0.2125
10,3,18,Run1_C_33,Run1_C_12,Run1_C_34,1.973
16,2,9,Run1_C_41,Run1_C_32,Run1_C_44,0.5034
15,12,23,Run1_C_21,Run1_C_35,Run1_C_24,0.7624
0,2,1,Run1_C_23,Run1_C_32,Run1_C_38,1.5401
9,15,8,Run1_C_44,Run1_C_21,Run1_C_40,1.6556
13,22,9,Run1_C_16,Run1_C_42,Run1_C_44,2.0252
0,20,13,Run1_C_23,Run1_C_25,Run1_C_16,0.2153
8,17,11,Run1_C_40,Run1_C_26,Run1_C_29,2.3158
11,13,7,Run1_C_29,Run1_C_16,Run1_C_43,1.5707
11,22,4,Run1_C_29,Run1_C_42,Run1_C_36,1.2699
16,23,4,Run1_C_41,Run1_C_24,Run1_C_36,1.1204
14,5,3,Run1_C_45,Run1_C_18,Run1_C_12,2.4795
12,19,1,Run1_C_35,Run1_C_22,Run1_C_38,0.7689
10,17,9,Run1_C_33,Run1_C_26,Run1_C_44,1.4963
15,12,20,Run1_C_21,Run1_C_35,Run1_C_25,0.4302
1,22,15,Run1_C_38,Run1_C_42,Run1_C_21,2.5237
17,2,12,Run1_C_26,Run1_C_32,Run1_C_35,0.0399
7,18,16,Run1_C_43,Run1_C_34,Run1_C_41,0.4782
13,7,14,Run1_C_16,Run1_C_43,Run1_C_45,1.2487
23,2,4,Run1_C_24,Run1_C_32,Run1_C_36,1.0654
7,18,3,Run1_C_43,Run1_C_34,Run1_C_12,0.4324
14,21,0,Run1_C_45,Run1_C_31,Run1_C_23,1.1653
20,23,17,Run1_C_25,Run1_C_24,Run1_C_26,1.2077
5,9,22,Run1_C_18,Run1_C_44,Run1_C_42,0.1112
1,3,9,Run1_C_38,Run1_C_12,Run1_C_44,0.0339
10,3,20,Run1_C_33,Run1_C_12,Run1_C_25,1.1818
11,19,8,Run1_C_29,Run1_C_22,Run1_C_40,0.3669
0,20,21,Run1_C_23,Run1_C_25,Run1_C_31,0.4554
10,23,11,Run1_C_33,Run1_C_24,Run1_C_29,1.3372
8,17,21,Run1_C_40,Run1_C_26,Run1_C_31,2.3532
0,17,12,Run1_C_23,Run1_C_26,Run1_C_35,0.0623
20,19,22,Run1_C_25,Run1_C_22,Run1_C_42,1.5762
10,2,0,Run1_C_33,Run1_C_32,Run1_C_23,4.5486
1,15,0,Run1_C_38,Run1_C_21,Run1_C_23,0.7316
11,22,12,Run1_C_29,Run1_C_42,Run1_C_35,1.3835
21,15,17,Run1_C_31,Run1_C_21,Run1_C_26,1.7778
21,13,9,Run1_C_31,Run1_C_16,Run1_C_44,2.5957
1,12,0,Run1_C_38,Run1_C_35,Run1_C_23,0.0953
16,12,21,Run1_C_41,Run1_C_35,Run1_C_31,0.1711
15,4,22,Run1_C_21,Run1_C_36,Run1_C_42,2.0775
23,17,1,Run1_C_24,Run1_C_26,Run1_C_38,2.5802
14,1,18,Run1_C_45,Run1_C_38,Run1_C_34,0.9426
16,12,14,Run1_C_41,Run1_C_35,Run1_C_45,0.0414
14,21,20,Run1_C_45,Run1_C_31,Run1_C_25,0.5885
20,17,11,Run1_C_25,Run1_C_26,Run1_C_29,2.3559
13,22,18,Run1_C_16,Run1_C_42,Run1_C_34,0.7278
11,21,7,Run1_C_29,Run1_C_31,Run1_C_43,0.9101
1,12,23,Run1_C_38,Run1_C_35,Run1_C_24,0.2051
10,20,19,Run1_C_33,Run1_C_25,Run1_C_22,0.5654
23,17,22,Run1_C_24,Run1_C_26,Run1_C_42,2.8662
11,8,14,Run1_C_29,Run1_C_40,Run1_C_45,0.1613
12,7,19,Run1_C_35,Run1_C_43,Run1_C_22,0.2809
16,15,3,Run1_C_41,Run1_C_21,Run1_C_12,0.4967
16,2,22,Run1_C_41,Run1_C_32,Run1_C_42,1.2252
2,19,4,Run1_C_32,Run1_C_22,Run1_C_36,0.6605
11,4,16,Run1_C_29,Run1_C_36,Run1_C_41,0.6347
15,4,20,Run1_C_21,Run1_C_36,Run1_C_25,2.7428
15,7,19,Run1_C_21,Run1_C_43,Run1_C_22,0.3923
5,12,3,Run1_C_18,Run1_C_35,Run1_C_12,1.5957
16,20,15,Run1_C_41,Run1_C_25,Run1_C_21,0.8516
16,19,22,Run1_C_41,Run1_C_22,Run1_C_42,0.8731
21,18,17,Run1_C_31,Run1_C_34,Run1_C_26,0.6777
20,17,7,Run1_C_25,Run1_C_26,Run1_C_43,2.8535
13,7,23,Run1_C_16,Run1_C_43,Run1_C_24,1.8776
14,12,8,Run1_C_45,Run1_C_35,Run1_C_40,0.3236
10,18,1,Run1_C_33,Run1_C_34,Run1_C_38,1.1577
2,3,8,Run1_C_32,Run1_C_12,Run1_C_40,1.9313
17,12,21,Run1_C_26,Run1_C_35,Run1_C_31,0.3421
8,20,22,Run1_C_40,Run1_C_25,Run1_C_42,1.1043
0,19,10,Run1_C_23,Run1_C_22,Run1_C_33,1.7124
9,21,10,Run1_C_44,Run1_C_31,Run1_C_33,0.6115
14,13,0,Run1_C_45,Run1_C_16,Run1_C_23,0.8498
3,19,9,Run1_C_12,Run1_C_22,Run1_C_44,0.0696
8,17,10,Run1_C_40,Run1_C_26,Run1_C_33,1.1459
20,17,5,Run1_C_25,Run1_C_26,Run1_C_18,2.3316
5,19,17,Run1_C_18,Run1_C_22,Run1_C_26,0.0853
14,13,10,Run1_C_45,Run1_C_16,Run1_C_33,0.4
0,19,1,Run1_C_23,Run1_C_22,Run1_C_38,3.1786
14,21,23,Run1_C_45,Run1_C_31,Run1_C_24,0.4757
18,22,19,Run1_C_34,Run1_C_42,Run1_C_22,0.2867
8,16,0,Run1_C_40,Run1_C_41,Run1_C_23,1.9756
11,15,0,Run1_C_29,Run1_C_21,Run1_C_23,1.3312
15,4,23,Run1_C_21,Run1_C_36,Run1_C_24,3.075
10,17,18,Run1_C_33,Run1_C_26,Run1_C_34,0.3719
0,2,8,Run1_C_23,Run1_C_32,Run1_C_40,0.0327
15,18,3,Run1_C_21,Run1_C_34,Run1_C_12,0.111
7,22,5,Run1_C_43,Run1_C_42,Run1_C_18,3.5324
10,23,8,Run1_C_33,Run1_C_24,Run1_C_40,0.5091
0,18,4,Run1_C_23,Run1_C_34,Run1_C_36,0.2773
10,23,13,Run1_C_33,Run1_C_24,Run1_C_16,1.2955
16,17,13,Run1_C_41,Run1_C_26,Run1_C_16,2.3166
14,11,0,Run1_C_45,Run1_C_29,Run1_C_23,0.233
5,19,23,Run1_C_18,Run1_C_22,Run1_C_24,0.1013
8,2,11,Run1_C_40,Run1_C_32,Run1_C_29,0.4928
0,16,14,Run1_C_23,Run1_C_41,Run1_C_45,0.9755
8,23,13,Run1_C_40,Run1_C_24,Run1_C_16,1.0154
10,12,15,Run1_C_33,Run1_C_35,Run1_C_21,0.2509
2,12,15,Run1_C_32,Run1_C_35,Run1_C_21,0.2724
11,7,9,Run1_C_29,Run1_C_43,Run1_C_44,1.6859
20,3,21,Run1_C_25,Run1_C_12,Run1_C_31,1.7283
4,19,18,Run1_C_36,Run1_C_22,Run1_C_34,0.4367
23,3,21,Run1_C_24,Run1_C_12,Run1_C_31,1.5021
8,20,9,Run1_C_40,Run1_C_25,Run1_C_44,0.6139
16,20,12,Run1_C_41,Run1_C_25,Run1_C_35,1.194
10,9,7,Run1_C_33,Run1_C_44,Run1_C_43,0.0052
23,20,3,Run1_C_24,Run1_C_25,Run1_C_12,2.0336
14,15,8,Run1_C_45,Run1_C_21,Run1_C_40,2.0166
8,20,4,Run1_C_40,Run1_C_25,Run1_C_36,0.966
17,19,18,Run1_C_26,Run1_C_22,Run1_C_34,0.448
10,3,1,Run1_C_33,Run1_C_12,Run1_C_38,3.1056
14,5,7,Run1_C_45,Run1_C_18,Run1_C_43,1.5036
15,18,23,Run1_C_21,Run1_C_34,Run1_C_24,0.2235
21,18,9,Run1_C_31,Run1_C_34,Run1_C_44,0.43
2,12,21,Run1_C_32,Run1_C_35,Run1_C_31,0.5992
3,19,14,Run1_C_12,Run1_C_22,Run1_C_45,0.4281
1,11,23,Run1_C_38,Run1_C_29,Run1_C_24,2.3264
20,3,18,Run1_C_25,Run1_C_12,Run1_C_34,1.6151
0,19,17,Run1_C_23,Run1_C_22,Run1_C_26,2.1407
11,7,3,Run1_C_29,Run1_C_43,Run1_C_12,1.42
0,16,13,Run1_C_23,Run1_C_41,Run1_C_16,0.9974
0,19,12,Run1_C_23,Run1_C_22,Run1_C_35,2.2045
18,22,0,Run1_C_34,Run1_C_42,Run1_C_23,0.1814
23,3,11,Run1_C_24,Run1_C_12,Run1_C_29,1.1954
9,7,17,Run1_C_44,Run1_C_43,Run1_C_26,0.2789
1,22,20,Run1_C_38,Run1_C_42,Run1_C_25,3.8659
10,17,4,Run1_C_33,Run1_C_26,Run1_C_36,1.0376
8,17,20,Run1_C_40,Run1_C_26,Run1_C_25,0.088
20,17,4,Run1_C_25,Run1_C_26,Run1_C_36,2.6175
9,15,12,Run1_C_44,Run1_C_21,Run1_C_35,1.3719
14,7,10,Run1_C_45,Run1_C_43,Run1_C_33,0.2737
20,3,22,Run1_C_25,Run1_C_12,Run1_C_42,2.2553
0,8,22,Run1_C_23,Run1_C_40,Run1_C_42,0.9547
16,17,1,Run1_C_41,Run1_C_26,Run1_C_38,2.4509
5,13,10,Run1_C_18,Run1_C_16,Run1_C_33,1.6767
14,5,12,Run1_C_45,Run1_C_18,Run1_C_35,0.113
10,19,18,Run1_C_33,Run1_C_22,Run1_C_34,0.1157
13,7,0,Run1_C_16,Run1_C_43,Run1_C_23,2.0039
11,13,8,Run1_C_29,Run1_C_16,Run1_C_40,3.3062
7,12,3,Run1_C_43,Run1_C_35,Run1_C_12,0.5755
18,12,0,Run1_C_34,Run1_C_35,Run1_C_23,2.0884
8,20,13,Run1_C_40,Run1_C_25,Run1_C_16,0.5357
11,19,3,Run1_C_29,Run1_C_22,Run1_C_12,0.306
14,4,2,Run1_C_45,Run1_C_36,Run1_C_32,2.7887
1,13,4,Run1_C_38,Run1_C_16,Run1_C_36,1.4474
10,23,16,Run1_C_33,Run1_C_24,Run1_C_41,0.311
23,17,8,Run1_C_24,Run1_C_26,Run1_C_40,0.0389
14,2,18,Run1_C_45,Run1_C_32,Run1_C_34,0.4969
21,13,16,Run1_C_31,Run1_C_16,Run1_C_41,3.0435
9,2,18,Run1_C_44,Run1_C_32,Run1_C_34,0.7017
5,19,8,Run1_C_18,Run1_C_22,Run1_C_40,0.9285
8,16,1,Run1_C_40,Run1_C_41,Run1_C_38,2.8562
23,17,18,Run1_C_24,Run1_C_26,Run1_C_34,2.3173
14,9,0,Run1_C_45,Run1_C_44,Run1_C_23,4.4025
15,7,2,Run1_C_21,Run1_C_43,Run1_C_32,0.8588
4,12,20,Run1_C_36,Run1_C_35,Run1_C_25,1.0752
13,18,17,Run1_C_16,Run1_C_34,Run1_C_26,1.3252
10,19,22,Run1_C_33,Run1_C_22,Run1_C_42,1.1377
10,18,8,Run1_C_33,Run1_C_34,Run1_C_40,0.1612
17,12,11,Run1_C_26,Run1_C_35,Run1_C_29,0.1269
12,18,8,Run1_C_35,Run1_C_34,Run1_C_40,2.022
10,20,18,Run1_C_33,Run1_C_25,Run1_C_34,0.7911
13,4,19,Run1_C_16,Run1_C_36,Run1_C_22,0.5155
17,2,7,Run1_C_26,Run1_C_32,Run1_C_43,1.1922
17,2,15,Run1_C_26,Run1_C_32,Run1_C_21,0.5702
2,3,16,Run1_C_32,Run1_C_12,Run1_C_41,1.7313
14,15,10,Run1_C_45,Run1_C_21,Run1_C_33,2.4496
16,20,7,Run1_C_41,Run1_C_25,Run1_C_43,1.8973
1,15,18,Run1_C_38,Run1_C_21,Run1_C_34,0.449
10,3,7,Run1_C_33,Run1_C_12,Run1_C_43,3.1171
15,22,17,Run1_C_21,Run1_C_42,Run1_C_26,0.493
5,13,12,Run1_C_18,Run1_C_16,Run1_C_35,0.1994
1,11,18,Run1_C_38,Run1_C_29,Run1_C_34,1.2043
11,7,20,Run1_C_29,Run1_C_43,Run1_C_25,2.2131
11,18,17,Run1_C_29,Run1_C_34,Run1_C_26,0.9065
0,17,22,Run1_C_23,Run1_C_26,Run1_C_42,0.9695
21,15,10,Run1_C_31,Run1_C_21,Run1_C_33,2.2368
12,22,19,Run1_C_35,Run1_C_42,Run1_C_22,0.0505
1,4,0,Run1_C_38,Run1_C_36,Run1_C_23,1.2067
18,7,2,Run1_C_34,Run1_C_43,Run1_C_32,0.8455
17,3,22,Run1_C_26,Run1_C_12,Run1_C_42,1.273
15,7,10,Run1_C_21,Run1_C_43,Run1_C_33,0.871
7,18,4,Run1_C_43,Run1_C_34,Run1_C_36,0.2747
16,17,0,Run1_C_41,Run1_C_26,Run1_C_23,1.591
11,15,23,Run1_C_29,Run1_C_21,Run1_C_24,1.2515
15,7,18,Run1_C_21,Run1_C_43,Run1_C_34,0.1885
10,9,1,Run1_C_33,Run1_C_44,Run1_C_38,0.0421
10,23,15,Run1_C_33,Run1_C_24,Run1_C_21,1.7187
21,13,10,Run1_C_31,Run1_C_16,Run1_C_33,2.794
5,15,7,Run1_C_18,Run1_C_21,Run1_C_43,1.9682
11,4,3,Run1_C_29,Run1_C_36,Run1_C_12,0.6514
17,3,13,Run1_C_26,Run1_C_12,Run1_C_16,0.8527
10,2,23,Run1_C_33,Run1_C_32,Run1_C_24,3.6917
2,3,18,Run1_C_32,Run1_C_12,Run1_C_34,2.5104
2,3,9,Run1_C_32,Run1_C_12,Run1_C_44,2.2348
9,4,7,Run1_C_44,Run1_C_36,Run1_C_43,2.3619
0,17,11,Run1_C_23,Run1_C_26,Run1_C_29,0.5862
21,22,14,Run1_C_31,Run1_C_42,Run1_C_45,3.1032
1,21,12,Run1_C_38,Run1_C_31,Run1_C_35,3.1526
10,8,1,Run1_C_33,Run1_C_40,Run1_C_38,0.8831
1,13,2,Run1_C_38,Run1_C_16,Run1_C_32,2.8407
5,15,10,Run1_C_18,Run1_C_21,Run1_C_33,2.2575
10,18,14,Run1_C_33,Run1_C_34,Run1_C_45,1.3164
15,13,8,Run1_C_21,Run1_C_16,Run1_C_40,0.8874
11,4,23,Run1_C_29,Run1_C_36,Run1_C_24,0.7639
13,22,19,Run1_C_16,Run1_C_42,Run1_C_22,2.1921
11,21,14,Run1_C_29,Run1_C_31,Run1_C_45,2.6898
0,16,22,Run1_C_23,Run1_C_41,Run1_C_42,1.2804
16,23,19,Run1_C_41,Run1_C_24,Run1_C_22,0.602
17,19,15,Run1_C_26,Run1_C_22,Run1_C_21,0.343
23,3,9,Run1_C_24,Run1_C_12,Run1_C_44,1.3417
17,19,4,Run1_C_26,Run1_C_22,Run1_C_36,0.208
21,13,15,Run1_C_31,Run1_C_16,Run1_C_21,0.9804
15,4,17,Run1_C_21,Run1_C_36,Run1_C_26,2.5704
11,9,16,Run1_C_29,Run1_C_44,Run1_C_41,0.1769
9,22,8,Run1_C_44,Run1_C_42,Run1_C_40,0.3026
5,7,3,Run1_C_18,Run1_C_43,Run1_C_12,1.3089
15,7,3,Run1_C_21,Run1_C_43,Run1_C_12,0.9917
5,19,18,Run1_C_18,Run1_C_22,Run1_C_34,0.2893
14,21,10,Run1_C_45,Run1_C_31,Run1_C_33,0.8816
2,19,11,Run1_C_32,Run1_C_22,Run1_C_29,0.571
18,22,17,Run1_C_34,Run1_C_42,Run1_C_26,0.0899
20,17,10,Run1_C_25,Run1_C_26,Run1_C_33,0.6386
5,4,3,Run1_C_18,Run1_C_36,Run1_C_12,2.6313
19,3,7,Run1_C_22,Run1_C_12,Run1_C_43,0.7433
1,13,8,Run1_C_38,Run1_C_16,Run1_C_40,2.4865
0,19,23,Run1_C_23,Run1_C_22,Run1_C_24,2.1567
18,7,14,Run1_C_34,Run1_C_43,Run1_C_45,0.4186
4,7,0,Run1_C_36,Run1_C_43,Run1_C_23,0.3399
7,22,8,Run1_C_43,Run1_C_42,Run1_C_40,4.3195
10,20,7,Run1_C_33,Run1_C_25,Run1_C_43,1.9353
13,15,12,Run1_C_16,Run1_C_21,Run1_C_35,0.13
11,21,10,Run1_C_29,Run1_C_31,Run1_C_33,3.0337
16,19,1,Run1_C_41,Run1_C_22,Run1_C_38,0.8731
5,12,22,Run1_C_18,Run1_C_35,Run1_C_42,0.8517
5,13,20,Run1_C_18,Run1_C_16,Run1_C_25,1.8816
20,17,18,Run1_C_25,Run1_C_26,Run1_C_34,2.1904
23,17,11,Run1_C_24,Run1_C_26,Run1_C_29,2.4828
14,9,23,Run1_C_45,Run1_C_44,Run1_C_24,4.4183
10,2,4,Run1_C_33,Run1_C_32,Run1_C_36,4.9418
1,7,3,Run1_C_38,Run1_C_43,Run1_C_12,2.9064
20,23,16,Run1_C_25,Run1_C_24,Run1_C_41,2.1437
5,9,8,Run1_C_18,Run1_C_44,Run1_C_40,1.7204
5,16,18,Run1_C_18,Run1_C_41,Run1_C_34,0.2355
16,3,14,Run1_C_41,Run1_C_12,Run1_C_45,0.4115
10,2,7,Run1_C_33,Run1_C_32,Run1_C_43,5.4202
15,13,20,Run1_C_21,Run1_C_16,Run1_C_25,0.9435
5,12,16,Run1_C_18,Run1_C_35,Run1_C_41,1.2059
23,19,22,Run1_C_24,Run1_C_22,Run1_C_42,1.0219
11,15,17,Run1_C_29,Run1_C_21,Run1_C_26,0.9506
2,19,21,Run1_C_32,Run1_C_22,Run1_C_31,1.4408
5,21,16,Run1_C_18,Run1_C_31,Run1_C_41,0.6206
23,17,5,Run1_C_24,Run1_C_26,Run1_C_18,2.4585
23,3,19,Run1_C_24,Run1_C_12,Run1_C_22,0.6603
16,2,12,Run1_C_41,Run1_C_32,Run1_C_35,0.0399
14,9,16,Run1_C_45,Run1_C_44,Run1_C_41,4.6727
13,7,20,Run1_C_16,Run1_C_43,Run1_C_25,1.6949
10,23,7,Run1_C_33,Run1_C_24,Run1_C_43,1.7284
8,18,9,Run1_C_40,Run1_C_34,Run1_C_44,0.822
20,19,5,Run1_C_25,Run1_C_22,Run1_C_18,0.4531
5,22,2,Run1_C_18,Run1_C_42,Run1_C_32,0.7824
10,2,12,Run1_C_33,Run1_C_32,Run1_C_35,4.4212
7,22,23,Run1_C_43,Run1_C_42,Run1_C_24,4.9842
9,4,22,Run1_C_44,Run1_C_36,Run1_C_42,1.9902
14,5,21,Run1_C_45,Run1_C_18,Run1_C_31,0.6983
12,3,0,Run1_C_35,Run1_C_12,Run1_C_23,0.5576
14,9,2,Run1_C_45,Run1_C_44,Run1_C_32,4.1422
10,19,11,Run1_C_33,Run1_C_22,Run1_C_29,0.5469
21,15,2,Run1_C_31,Run1_C_21,Run1_C_32,2.2246
2,19,14,Run1_C_32,Run1_C_22,Run1_C_45,0.9532
5,18,2,Run1_C_18,Run1_C_34,Run1_C_32,0.1927
12,3,1,Run1_C_35,Run1_C_12,Run1_C_38,0.4617
23,19,12,Run1_C_24,Run1_C_22,Run1_C_35,0.0478
11,12,8,Run1_C_29,Run1_C_35,Run1_C_40,0.2689
0,2,21,Run1_C_23,Run1_C_32,Run1_C_31,1.3018
21,7,23,Run1_C_31,Run1_C_43,Run1_C_24,2.5411
0,10,7,Run1_C_23,Run1_C_33,Run1_C_43,0.3806
13,7,9,Run1_C_16,Run1_C_43,Run1_C_44,1.6702
1,5,17,Run1_C_38,Run1_C_18,Run1_C_26,0.6776
12,19,3,Run1_C_35,Run1_C_22,Run1_C_12,0.2946
21,13,7,Run1_C_31,Run1_C_16,Run1_C_43,0.7121
5,4,7,Run1_C_18,Run1_C_36,Run1_C_43,1.6554
17,12,15,Run1_C_26,Run1_C_35,Run1_C_21,0.0154
8,23,14,Run1_C_40,Run1_C_24,Run1_C_45,0.9599
17,3,1,Run1_C_26,Run1_C_12,Run1_C_38,0.987
1,11,10,Run1_C_38,Run1_C_29,Run1_C_33,2.1031
11,22,2,Run1_C_29,Run1_C_42,Run1_C_32,2.388
7,22,0,Run1_C_43,Run1_C_42,Run1_C_23,4.6719
17,19,21,Run1_C_26,Run1_C_22,Run1_C_31,0.7973
11,13,16,Run1_C_29,Run1_C_16,Run1_C_41,3.7102
17,2,14,Run1_C_26,Run1_C_32,Run1_C_45,0.7082
11,13,17,Run1_C_29,Run1_C_16,Run1_C_26,3.3974
9,4,20,Run1_C_44,Run1_C_36,Run1_C_25,2.471
20,3,9,Run1_C_25,Run1_C_12,Run1_C_44,1.5664
11,19,14,Run1_C_29,Run1_C_22,Run1_C_45,0.5282
4,22,2,Run1_C_36,Run1_C_42,Run1_C_32,0.4585
11,15,20,Run1_C_29,Run1_C_21,Run1_C_25,1.123
21,18,23,Run1_C_31,Run1_C_34,Run1_C_24,0.9138
14,22,19,Run1_C_45,Run1_C_42,Run1_C_22,0.6706
11,21,0,Run1_C_29,Run1_C_31,Run1_C_23,3.4731
1,11,2,Run1_C_38,Run1_C_29,Run1_C_32,2.9458
5,9,10,Run1_C_18,Run1_C_44,Run1_C_33,0.7369
0,20,5,Run1_C_23,Run1_C_25,Run1_C_18,0.5655
11,7,4,Run1_C_29,Run1_C_43,Run1_C_36,0.7687
0,17,15,Run1_C_23,Run1_C_26,Run1_C_21,0.3354
16,20,11,Run1_C_41,Run1_C_25,Run1_C_29,2.3104
16,2,0,Run1_C_41,Run1_C_32,Run1_C_23,0.0584
0,19,22,Run1_C_23,Run1_C_22,Run1_C_42,3.1786
15,18,20,Run1_C_21,Run1_C_34,Run1_C_25,0.0744
23,17,21,Run1_C_24,Run1_C_26,Run1_C_31,2.6666
7,18,23,Run1_C_43,Run1_C_34,Run1_C_24,0.5449
5,7,20,Run1_C_18,Run1_C_43,Run1_C_25,0.6417
7,22,3,Run1_C_43,Run1_C_42,Run1_C_12,5.2346
9,13,23,Run1_C_44,Run1_C_16,Run1_C_24,0.2074
23,2,8,Run1_C_24,Run1_C_32,Run1_C_40,0.1768
8,16,21,Run1_C_40,Run1_C_41,Run1_C_31,2.6473
21,15,19,Run1_C_31,Run1_C_21,Run1_C_22,1.7581
14,4,13,Run1_C_45,Run1_C_36,Run1_C_16,1.9805
16,23,9,Run1_C_41,Run1_C_24,Run1_C_44,1.2833
21,22,13,Run1_C_31,Run1_C_42,Run1_C_16,0.6114
0,2,11,Run1_C_23,Run1_C_32,Run1_C_29,0.9198
1,13,14,Run1_C_38,Run1_C_16,Run1_C_45,1.6572
15,22,8,Run1_C_21,Run1_C_42,Run1_C_40,0.5189
16,20,9,Run1_C_41,Run1_C_25,Run1_C_44,1.4564
14,9,1,Run1_C_45,Run1_C_44,Run1_C_38,3.7486
11,7,10,Run1_C_29,Run1_C_43,Run1_C_33,1.3092
9,2,13,Run1_C_44,Run1_C_32,Run1_C_16,0.1241
10,19,9,Run1_C_33,Run1_C_22,Run1_C_44,0.9225
11,17,9,Run1_C_29,Run1_C_26,Run1_C_44,0.3054
